,name
ENSMUSG00000058927,Gm10053
ENSMUSG00000058932,Gm2174
ENSMUSG00000058933,Gm5185
ENSMUSG00000058934,Igf1os
ENSMUSG00000058935,Tex48
ENSMUSG00000058952,Cfi
ENSMUSG00000058953,Gm4822
ENSMUSG00000058966,Tlcd3b
ENSMUSG00000058975,Kcnc1
ENSMUSG00000058976,Usp17lc
ENSMUSG00000058979,Hdhd5
ENSMUSG00000058981,Olfr1406
ENSMUSG00000058997,Vwa8
ENSMUSG00000059003,Grin2a
ENSMUSG00000059005,Hnrnpa3
ENSMUSG00000059013,Sh2d3c
ENSMUSG00000059014,Gm5409
ENSMUSG00000059022,Kcp
ENSMUSG00000059023,Olfr1201
ENSMUSG00000059027,9630013D21Rik
ENSMUSG00000059030,Olfr128
ENSMUSG00000059031,Olfr482
ENSMUSG00000059033,Rpl18a-ps1
ENSMUSG00000059040,Eno1b
ENSMUSG00000059042,Klk1b9
ENSMUSG00000059043,Olfr15
ENSMUSG00000059049,Frem1
ENSMUSG00000059058,Tma7-ps
ENSMUSG00000059060,Rad51b
ENSMUSG00000059064,Gm10059
ENSMUSG00000059069,Olfr749
ENSMUSG00000059070,Rpl18
ENSMUSG00000059077,Pth
ENSMUSG00000059087,Olfr698
ENSMUSG00000059089,Fcgr4
ENSMUSG00000059105,Olfr1504
ENSMUSG00000059106,Olfr961
ENSMUSG00000059108,Ifitm6
ENSMUSG00000059112,Olfr1263
ENSMUSG00000059113,Gm10061
ENSMUSG00000059114,Lrrc74a
ENSMUSG00000059119,Nap1l4
ENSMUSG00000059128,Ifnl2
ENSMUSG00000059134,Olfr814
ENSMUSG00000059136,Olfr539
ENSMUSG00000059142,Zfp945
ENSMUSG00000059146,Ntrk3
ENSMUSG00000059149,Mfsd4a
ENSMUSG00000059150,Rpl26-ps4
ENSMUSG00000059159,Gm8129
ENSMUSG00000059169,Krt40
ENSMUSG00000059173,Pde1a
ENSMUSG00000059179,Gm8991
ENSMUSG00000059182,Skap2
ENSMUSG00000059183,Mtfmt
ENSMUSG00000059187,Tafa1
ENSMUSG00000059189,Olfr913
ENSMUSG00000059195,Gm12715
ENSMUSG00000059201,Lep
ENSMUSG00000059203,Il1rapl2
ENSMUSG00000059205,Olfr1130
ENSMUSG00000059206,Vmn1r71
ENSMUSG00000059208,Hnrnpm
ENSMUSG00000059213,Ddn
ENSMUSG00000059218,Pramel26
ENSMUSG00000059229,Gm6802
ENSMUSG00000059230,Defb4
ENSMUSG00000059237,Ppp1r2-ps4
ENSMUSG00000059244,Gm10062
ENSMUSG00000059246,Foxb1
ENSMUSG00000059248,Septin9
ENSMUSG00000059251,Olfr345
ENSMUSG00000059252,Tpt1-ps5
ENSMUSG00000059256,Gzmd
ENSMUSG00000059263,Usp47
ENSMUSG00000059273,Zc3h4
ENSMUSG00000059277,R74862
ENSMUSG00000059278,Naa38
ENSMUSG00000059279,Olfr224
ENSMUSG00000059280,Vpreb2
ENSMUSG00000059288,Cdyl
ENSMUSG00000059291,Rpl11
ENSMUSG00000059301,Gm5434
ENSMUSG00000059303,Olfr836
ENSMUSG00000059305,Vpreb1
ENSMUSG00000059316,Slc27a4
ENSMUSG00000059319,Olfr295
ENSMUSG00000059323,Tonsl
ENSMUSG00000059325,Hopx
ENSMUSG00000059326,Csf2ra
ENSMUSG00000059327,Eda
ENSMUSG00000059334,Zfp36l3
ENSMUSG00000059336,Slc14a1
ENSMUSG00000059343,Aldoart1
ENSMUSG00000059352,Gm10064
ENSMUSG00000059355,Wdr83os
ENSMUSG00000059361,Nrsn2
ENSMUSG00000059363,Fxn
ENSMUSG00000059366,Olfr959
ENSMUSG00000059371,Olfr427
ENSMUSG00000059375,Vmn1r33
ENSMUSG00000059379,Olfr1014
ENSMUSG00000059382,Tas2r120
ENSMUSG00000059383,Gfral
ENSMUSG00000059395,Nkapl
ENSMUSG00000059397,Olfr54
ENSMUSG00000059401,Mamld1
ENSMUSG00000059406,Tmprss9
ENSMUSG00000059408,Mrgprh
ENSMUSG00000059409,Ppp2r5d
ENSMUSG00000059410,Tas2r125
ENSMUSG00000059411,Olfr434
ENSMUSG00000059412,Fxyd2
ENSMUSG00000059422,Gm8116
ENSMUSG00000059423,Zfp933
ENSMUSG00000059429,Olfr365
ENSMUSG00000059430,Actg2
ENSMUSG00000059434,Gckr
ENSMUSG00000059436,Max
ENSMUSG00000059439,Bcas3
ENSMUSG00000059447,Hadhb
ENSMUSG00000059455,Plac8l1
ENSMUSG00000059456,Ptk2b
ENSMUSG00000059460,Olfr286
ENSMUSG00000059461,Gm7331
ENSMUSG00000059463,Spag11b
ENSMUSG00000059473,Olfr979
ENSMUSG00000059474,Mbtd1
ENSMUSG00000059475,Zfp426
ENSMUSG00000059479,B3gnt8
ENSMUSG00000059481,Plg
ENSMUSG00000059482,2610301B20Rik
ENSMUSG00000059483,Gm5528
ENSMUSG00000059486,Kbtbd2
ENSMUSG00000059488,Olfr727
ENSMUSG00000059493,Nhs
ENSMUSG00000059495,Arhgef12
ENSMUSG00000059498,Fcgr3
ENSMUSG00000059503,Olfr248
ENSMUSG00000059504,Olfr314
ENSMUSG00000059518,Znhit1
ENSMUSG00000059534,Uqcr10
ENSMUSG00000059540,Tcea2
ENSMUSG00000059547,Fbxw26
ENSMUSG00000059552,Trp53
ENSMUSG00000059554,Ccdc28a
ENSMUSG00000059555,Tor4a
ENSMUSG00000059562,Ccdc154
ENSMUSG00000059565,Gm5292
ENSMUSG00000059571,Gm16218
ENSMUSG00000059585,Ube2nl
ENSMUSG00000059586,Nsmce2
ENSMUSG00000059588,Calcrl
ENSMUSG00000059595,Olfr935
ENSMUSG00000059602,Syn3
ENSMUSG00000059606,Rnase2b
ENSMUSG00000059610,Olfr222
ENSMUSG00000059623,Olfr39
ENSMUSG00000059625,Sohlh1
ENSMUSG00000059626,Rhox3e
ENSMUSG00000059631,1500035N22Rik
ENSMUSG00000059632,Krtap8-1
ENSMUSG00000059639,Clec4a4
ENSMUSG00000059645,Gm7361
ENSMUSG00000059647,Cbx3-ps7
ENSMUSG00000059648,Rnase11
ENSMUSG00000059654,Reg1
ENSMUSG00000059657,Stfa2l1
ENSMUSG00000059658,Mif-ps6
ENSMUSG00000059659,Gm10069
ENSMUSG00000059663,Samt2b
ENSMUSG00000059668,Krt4
ENSMUSG00000059669,Taf1b
ENSMUSG00000059674,Cdh24
ENSMUSG00000059687,Olfr108
ENSMUSG00000059689,Zfp637
ENSMUSG00000059690,1700020N15Rik
ENSMUSG00000059695,1700019M22Rik
ENSMUSG00000059706,A830035A12Rik
ENSMUSG00000059708,Akap17b
ENSMUSG00000059713,Rcan3
ENSMUSG00000059714,Flot1
ENSMUSG00000059729,Olfr1385
ENSMUSG00000059734,Ndufs8
ENSMUSG00000059741,Myl3
ENSMUSG00000059742,Kcnh7
ENSMUSG00000059743,Fdps
ENSMUSG00000059751,Rps3a3
ENSMUSG00000059762,Olfr767
ENSMUSG00000059763,Taar2
ENSMUSG00000059768,Olfr682-ps1
ENSMUSG00000059772,Slx1b
ENSMUSG00000059775,Rps26-ps1
ENSMUSG00000059776,Rpl13-ps6
ENSMUSG00000059791,Nrm
ENSMUSG00000059796,Eif4a1
ENSMUSG00000059810,Rgs3
ENSMUSG00000059811,Atl2
ENSMUSG00000059816,Shisal2a
ENSMUSG00000059820,Nkapd1
ENSMUSG00000059821,Olfr847
ENSMUSG00000059824,Dbp
ENSMUSG00000059827,Gm5670
ENSMUSG00000059830,Gm16380
ENSMUSG00000059832,Kprp
ENSMUSG00000059834,Sclt1
ENSMUSG00000059835,Rpl13-ps3
ENSMUSG00000059839,Zfp874b
ENSMUSG00000059842,Zfp341
ENSMUSG00000059845,Gm11567
ENSMUSG00000059851,Kmt5c
ENSMUSG00000059852,Kcng2
ENSMUSG00000059854,Hydin
ENSMUSG00000059857,Ntng1
ENSMUSG00000059862,Olfr826
ENSMUSG00000059864,Olfr1393
ENSMUSG00000059866,Tnip2
ENSMUSG00000059867,Olfr960
ENSMUSG00000059873,Olfr1029
ENSMUSG00000059874,Olfr603
ENSMUSG00000059877,Dph3b-ps
ENSMUSG00000059878,Zfp422
ENSMUSG00000059883,Irak4
ENSMUSG00000059887,Olfr1507
ENSMUSG00000059890,Ube4a
ENSMUSG00000059891,Tsks
ENSMUSG00000059895,Ptp4a3
ENSMUSG00000059897,Zfp930
ENSMUSG00000059898,Dsc3
ENSMUSG00000059900,Tmem40
ENSMUSG00000059901,Adamts14
ENSMUSG00000059908,Mug1
ENSMUSG00000059910,Olfr1265
ENSMUSG00000059912,Rpl21-ps6
ENSMUSG00000059920,4930453N24Rik
ENSMUSG00000059921,Unc5c
ENSMUSG00000059923,Grb2
ENSMUSG00000059934,Prh1
ENSMUSG00000059939,9430015G10Rik
ENSMUSG00000059956,Serpinb12
ENSMUSG00000059964,Olfr119
ENSMUSG00000059970,Hspa2
ENSMUSG00000059972,Gm14773
ENSMUSG00000059974,Ntm
ENSMUSG00000059975,Zfp74
ENSMUSG00000059981,Taok2
ENSMUSG00000059991,Nptx2
ENSMUSG00000059994,Fcrl1
ENSMUSG00000059995,Atxn7l3
ENSMUSG00000060002,Chpt1
ENSMUSG00000060012,Kif13b
ENSMUSG00000060017,Olfr121
ENSMUSG00000060019,Gm10073
ENSMUSG00000060024,Vmn1r213
ENSMUSG00000060029,4930473A02Rik
ENSMUSG00000060030,Olfr317
ENSMUSG00000060032,H2aj
ENSMUSG00000060034,Ctf2
ENSMUSG00000060036,Rpl3
ENSMUSG00000060038,Dhps
ENSMUSG00000060044,Tmem26
ENSMUSG00000060049,Olfr235
ENSMUSG00000060057,Olfr193
ENSMUSG00000060063,Alox5ap
ENSMUSG00000060068,Gm12222
ENSMUSG00000060070,Defa26
ENSMUSG00000060073,Psma3
ENSMUSG00000060081,H2ac1
ENSMUSG00000060084,Olfr748
ENSMUSG00000060090,Rp2
ENSMUSG00000060093,H4c1
ENSMUSG00000060096,Amd-ps3
ENSMUSG00000060098,Prmt7
ENSMUSG00000060105,Olfr504
ENSMUSG00000060112,Olfr60
ENSMUSG00000060114,Olfr910
ENSMUSG00000060121,Gemin2
ENSMUSG00000060126,Tpt1
ENSMUSG00000060128,Gm2710
ENSMUSG00000060131,Atp8b4
ENSMUSG00000060143,Gm10076
ENSMUSG00000060147,Serpinb6a
ENSMUSG00000060149,BC002059
ENSMUSG00000060152,Pop5
ENSMUSG00000060161,Klk1b7-ps
ENSMUSG00000060166,Zdhhc8
ENSMUSG00000060170,Olfr1371
ENSMUSG00000060176,Kif27
ENSMUSG00000060177,Klk1b22
ENSMUSG00000060180,Myh13
ENSMUSG00000060181,Slc35e3
ENSMUSG00000060183,Cxcl11
ENSMUSG00000060187,Lrrc10
ENSMUSG00000060188,Cxcl17
ENSMUSG00000060198,Gm11353
ENSMUSG00000060201,Spink7
ENSMUSG00000060204,Slc10a4-ps
ENSMUSG00000060205,Olfr57
ENSMUSG00000060206,Zfp462
ENSMUSG00000060208,Defa17
ENSMUSG00000060212,Pcnx2
ENSMUSG00000060216,Arrb2
ENSMUSG00000060224,Pyroxd2
ENSMUSG00000060227,Golm2
ENSMUSG00000060240,Cend1
ENSMUSG00000060244,Alyref2
ENSMUSG00000060245,Vmn1r228
ENSMUSG00000060254,Olfr980
ENSMUSG00000060256,Tdpoz4
ENSMUSG00000060257,Scrt2
ENSMUSG00000060260,Pwwp2b
ENSMUSG00000060261,Gtf2i
ENSMUSG00000060268,Armh1
ENSMUSG00000060275,Nrg2
ENSMUSG00000060279,Ap2a1
ENSMUSG00000060284,Sp7
ENSMUSG00000060288,Ppih
ENSMUSG00000060301,2610008E11Rik
ENSMUSG00000060303,Olfr1447
ENSMUSG00000060311,Mucl1
ENSMUSG00000060314,Zfp941
ENSMUSG00000060317,Acnat2
ENSMUSG00000060332,Tmc2
ENSMUSG00000060335,Olfr384
ENSMUSG00000060336,Zfp937
ENSMUSG00000060371,Caln1
ENSMUSG00000060373,Hnrnpc
ENSMUSG00000060375,3110018I06Rik
ENSMUSG00000060376,Bckdha
ENSMUSG00000060377,Rpl36a-ps1
ENSMUSG00000060380,C030014I23Rik
ENSMUSG00000060397,Zfp128
ENSMUSG00000060402,Chst8
ENSMUSG00000060404,Olfr1369-ps1
ENSMUSG00000060407,Cyp2a12
ENSMUSG00000060411,Npn2
ENSMUSG00000060412,Tas2r124
ENSMUSG00000060416,Gm839
ENSMUSG00000060417,Gm8603
ENSMUSG00000060419,Rps16-ps2
ENSMUSG00000060424,Pantr1
ENSMUSG00000060427,Zfp868
ENSMUSG00000060429,Sntb1
ENSMUSG00000060438,Rps10-ps1
ENSMUSG00000060441,Trim5
ENSMUSG00000060445,Sycp2
ENSMUSG00000060450,Rnf14
ENSMUSG00000060459,Kng2
ENSMUSG00000060461,Dppa5a
ENSMUSG00000060467,Gm10080
ENSMUSG00000060469,Krtap19-3
ENSMUSG00000060470,Adgrg3
ENSMUSG00000060475,Wtap
ENSMUSG00000060477,Irak2
ENSMUSG00000060480,Olfr171
ENSMUSG00000060487,Samd5
ENSMUSG00000060491,4930522H14Rik
ENSMUSG00000060499,Rpl10l
ENSMUSG00000060503,Olfr715
ENSMUSG00000060508,Nlrp9b
ENSMUSG00000060509,Xcr1
ENSMUSG00000060510,Zfp266
ENSMUSG00000060512,0610040J01Rik
ENSMUSG00000060519,Tor3a
ENSMUSG00000060523,Olfr726
ENSMUSG00000060530,A930017M01Rik
ENSMUSG00000060534,Dcc
ENSMUSG00000060538,Tmem219
ENSMUSG00000060548,Tnfrsf19
ENSMUSG00000060550,H2-Q7
ENSMUSG00000060556,Olfr1418
ENSMUSG00000060560,Ces4a
ENSMUSG00000060565,Gm5591
ENSMUSG00000060566,Rpl21-ps3
ENSMUSG00000060568,Fam78b
ENSMUSG00000060572,Mfap2
ENSMUSG00000060579,Fhit
ENSMUSG00000060583,Olfr881
ENSMUSG00000060586,H2-Eb1
ENSMUSG00000060591,Ifitm2
ENSMUSG00000060594,Layn
ENSMUSG00000060600,Eno3
ENSMUSG00000060601,Nr1h2
ENSMUSG00000060613,Cyp2c70
ENSMUSG00000060615,Ang4
ENSMUSG00000060621,Nkpd1
ENSMUSG00000060630,Zfp735
ENSMUSG00000060636,Rpl35a
ENSMUSG00000060639,H4c9
ENSMUSG00000060647,Gm7099
ENSMUSG00000060657,Marf1
ENSMUSG00000060663,Olfr175
ENSMUSG00000060671,Atp8b2
ENSMUSG00000060673,4930595M18Rik
ENSMUSG00000060675,Plaat3
ENSMUSG00000060678,H4c3
ENSMUSG00000060679,Mrps9
ENSMUSG00000060680,Gm8894
ENSMUSG00000060681,Slc9a6
ENSMUSG00000060685,Fthl17c
ENSMUSG00000060688,Olfr292
ENSMUSG00000060691,Krtap19-1
ENSMUSG00000060699,Vmn1r35
ENSMUSG00000060701,Fpr-rs3
ENSMUSG00000060703,Cd302
ENSMUSG00000060708,Bloc1s4
ENSMUSG00000060715,1700019A02Rik
ENSMUSG00000060716,Plekhh1
ENSMUSG00000060724,Vmn1r47
ENSMUSG00000060726,Tmsb15a
ENSMUSG00000060727,Gm12571
ENSMUSG00000060730,Gm10086
ENSMUSG00000060733,Ipmk
ENSMUSG00000060735,Rxfp3
ENSMUSG00000060738,Prl7c1
ENSMUSG00000060739,Nsa2
ENSMUSG00000060742,Olfr1076
ENSMUSG00000060743,H3f3a
ENSMUSG00000060747,Ifnl3
ENSMUSG00000060756,Krtap2-4
ENSMUSG00000060759,Olfr503
ENSMUSG00000060765,Olfr325
ENSMUSG00000060771,Tsga10
ENSMUSG00000060777,Gm10087
ENSMUSG00000060780,Lrrtm1
ENSMUSG00000060787,Olfr464
ENSMUSG00000060791,Gmfg
ENSMUSG00000060794,Tssk5
ENSMUSG00000060795,Gm13363
ENSMUSG00000060798,Intu
ENSMUSG00000060802,B2m
ENSMUSG00000060803,Gstp1
ENSMUSG00000060807,Serpina6
ENSMUSG00000060808,B9d1os
ENSMUSG00000060811,Gm10088
ENSMUSG00000060816,Vmn1r52
ENSMUSG00000060827,Olfr1193
ENSMUSG00000060843,Ctnna3
ENSMUSG00000060860,Ube2s
ENSMUSG00000060862,Zbtb40
ENSMUSG00000060863,Tcl1b2
ENSMUSG00000060878,Olfr1420
ENSMUSG00000060879,Gm6564
ENSMUSG00000060882,Kcnd2
ENSMUSG00000060888,Olfr566
ENSMUSG00000060890,Arr3
ENSMUSG00000060904,Arl1
ENSMUSG00000060913,Trim55
ENSMUSG00000060918,Olfr51
ENSMUSG00000060923,Acyp2
ENSMUSG00000060924,Csmd1
ENSMUSG00000060935,Tmem263
ENSMUSG00000060938,Rpl26
ENSMUSG00000060950,Trmt61a
ENSMUSG00000060956,Gm10092
ENSMUSG00000060961,Slc4a4
ENSMUSG00000060962,Dmkn
ENSMUSG00000060967,Etd
ENSMUSG00000060969,Irx1
ENSMUSG00000060974,Olfr530
ENSMUSG00000060981,H4c8
ENSMUSG00000060985,Tdrd5
ENSMUSG00000060988,Galnt13
ENSMUSG00000060989,Gm11847
ENSMUSG00000060992,Copz1
ENSMUSG00000061000,Olfr507
ENSMUSG00000061013,Mkx
ENSMUSG00000061022,Vmn1r222
ENSMUSG00000061024,Rrs1
ENSMUSG00000061028,Clasrp
ENSMUSG00000061032,Rrp1
ENSMUSG00000061039,Olfr920
ENSMUSG00000061046,Haghl
ENSMUSG00000061048,Cdh3
ENSMUSG00000061062,Hdac1-ps
ENSMUSG00000061065,H2al1o
ENSMUSG00000061068,Mcpt4
ENSMUSG00000061079,Zfp143
ENSMUSG00000061080,Lsamp
ENSMUSG00000061082,Plac1
ENSMUSG00000061086,Myl4
ENSMUSG00000061099,Gapdhs
ENSMUSG00000061100,Retnla
ENSMUSG00000061104,Sap18b
ENSMUSG00000061111,Mcrip1
ENSMUSG00000061115,Gm17113
ENSMUSG00000061118,Dnajc30
ENSMUSG00000061119,Prcp
ENSMUSG00000061126,Cyp4f39
ENSMUSG00000061130,Ppm1b
ENSMUSG00000061132,Blnk
ENSMUSG00000061136,Prpf40a
ENSMUSG00000061143,Maml3
ENSMUSG00000061144,Spink12
ENSMUSG00000061165,Olfr160
ENSMUSG00000061167,Rpl15-ps3
ENSMUSG00000061171,Slc38a11
ENSMUSG00000061175,Fnip2
ENSMUSG00000061184,Tmprss11c
ENSMUSG00000061186,Sfmbt2
ENSMUSG00000061195,Olfr1289
ENSMUSG00000061207,Stk19
ENSMUSG00000061208,Vmn1r8
ENSMUSG00000061210,Olfr47
ENSMUSG00000061232,H2-K1
ENSMUSG00000061242,Gm9104
ENSMUSG00000061244,Exoc5
ENSMUSG00000061246,Olfr387-ps1
ENSMUSG00000061259,Tmprss11d
ENSMUSG00000061272,Gm14173
ENSMUSG00000061273,Mmgt1
ENSMUSG00000061286,Exosc5
ENSMUSG00000061288,Taok3
ENSMUSG00000061292,Cyp3a59
ENSMUSG00000061295,Olfr1261
ENSMUSG00000061296,Vmn1r210
ENSMUSG00000061298,Agbl4
ENSMUSG00000061306,Slc38a10
ENSMUSG00000061311,Rag1
ENSMUSG00000061313,Ddhd2
ENSMUSG00000061315,Naca
ENSMUSG00000061322,Dnai1
ENSMUSG00000061330,Gm6436
ENSMUSG00000061331,Gm17132
ENSMUSG00000061336,Olfr116
ENSMUSG00000061342,Olfr1168
ENSMUSG00000061353,Cxcl12
ENSMUSG00000061356,Nuggc
ENSMUSG00000061360,Phf5a
ENSMUSG00000061361,Olfr168
ENSMUSG00000061367,Olfr771
ENSMUSG00000061371,Zfp873
ENSMUSG00000061374,Fiz1
ENSMUSG00000061376,Vmn1r219
ENSMUSG00000061387,Olfr1490
ENSMUSG00000061388,Csn1s2b
ENSMUSG00000061390,Uba52-ps
ENSMUSG00000061392,Mageb5
ENSMUSG00000061393,Acvr2b
ENSMUSG00000061397,Krt79
ENSMUSG00000061410,Zcchc14
ENSMUSG00000061411,Nol4l
ENSMUSG00000061414,Cracr2a
ENSMUSG00000061436,Hipk2
ENSMUSG00000061451,Tmem151a
ENSMUSG00000061455,Stx17
ENSMUSG00000061457,Olfr871
ENSMUSG00000061458,Nol10
ENSMUSG00000061461,Smim20
ENSMUSG00000061462,Obscn
ENSMUSG00000061469,Msantd5
ENSMUSG00000061474,Mrps36
ENSMUSG00000061477,Rps7
ENSMUSG00000061479,Snrpa
ENSMUSG00000061482,H4c4
ENSMUSG00000061486,Gm5161
ENSMUSG00000061488,Rpl27a-ps1
ENSMUSG00000061489,Olfr525
ENSMUSG00000061490,Ube2d4
ENSMUSG00000061510,Gm10101
ENSMUSG00000061517,Sox21
ENSMUSG00000061518,Cox5b
ENSMUSG00000061520,Olfr153
ENSMUSG00000061524,Zic2
ENSMUSG00000061525,4921509C19Rik
ENSMUSG00000061527,Krt5
ENSMUSG00000061531,Tmem236
ENSMUSG00000061533,Cep128
ENSMUSG00000061535,C1qtnf7
ENSMUSG00000061536,Sec22c
ENSMUSG00000061540,Orm2
ENSMUSG00000061544,Zfp229
ENSMUSG00000061549,Olfr301
ENSMUSG00000061559,Wdr61
ENSMUSG00000061561,Olfr373
ENSMUSG00000061576,Dpp6
ENSMUSG00000061577,Adgrg5
ENSMUSG00000061578,Ksr2
ENSMUSG00000061584,Lyg2
ENSMUSG00000061589,Dot1l
ENSMUSG00000061601,Pclo
ENSMUSG00000061602,Vmn1r78
ENSMUSG00000061603,Akap6
ENSMUSG00000061607,Mdc1
ENSMUSG00000061613,U2af1
ENSMUSG00000061614,Olfr845
ENSMUSG00000061615,H2ac4
ENSMUSG00000061616,Olfr12
ENSMUSG00000061619,Vma21-ps
ENSMUSG00000061626,Olfr68
ENSMUSG00000061633,Ndufb11b
ENSMUSG00000061637,Olfr1457
ENSMUSG00000061650,Med9
ENSMUSG00000061653,Vmn1r46
ENSMUSG00000061665,Cd2ap
ENSMUSG00000061666,Gdpd1
ENSMUSG00000061669,Rpl34-ps2
ENSMUSG00000061684,Rpl21-ps8
ENSMUSG00000061689,Dlgap4
ENSMUSG00000061701,Fbxw20
ENSMUSG00000061702,Tmem91
ENSMUSG00000061707,Gm4871
ENSMUSG00000061718,Ppp1r1b
ENSMUSG00000061723,Tnnt3
ENSMUSG00000061724,Gm2423
ENSMUSG00000061728,Btnl7-ps
ENSMUSG00000061731,Ext1
ENSMUSG00000061740,Cyp2d22
ENSMUSG00000061742,Slc22a12
ENSMUSG00000061751,Kalrn
ENSMUSG00000061755,Bod1l
ENSMUSG00000061758,Akr1b10
ENSMUSG00000061759,Armt1
ENSMUSG00000061762,Tac1
ENSMUSG00000061769,Klra6
ENSMUSG00000061778,Mospd2
ENSMUSG00000061780,Cfd
ENSMUSG00000061787,Rps17
ENSMUSG00000061798,Olfr1204
ENSMUSG00000061802,Odad2
ENSMUSG00000061808,Ttr
ENSMUSG00000061809,Tbpl2
ENSMUSG00000061815,Rufy4
ENSMUSG00000061816,Myl1
ENSMUSG00000061825,Ces2c
ENSMUSG00000061829,Vmn1r214
ENSMUSG00000061833,Gm6311
ENSMUSG00000061838,Suclg2
ENSMUSG00000061843,Vmn1r-ps32
ENSMUSG00000061845,Defa35
ENSMUSG00000061847,Defb39
ENSMUSG00000061848,Gm5805
ENSMUSG00000061852,Gm53056
ENSMUSG00000061859,Patj
ENSMUSG00000061863,Gm6822
ENSMUSG00000061875,Olfr1148
ENSMUSG00000061877,BC048679
ENSMUSG00000061878,Sphk1
ENSMUSG00000061882,Ccdc62
ENSMUSG00000061887,Ssbp3
ENSMUSG00000061894,Zscan20
ENSMUSG00000061897,Gm14292
ENSMUSG00000061898,Rbak
ENSMUSG00000061904,Slc25a3
ENSMUSG00000061906,Ugt2b38
ENSMUSG00000061911,Myt1l
ENSMUSG00000061923,Odf1
ENSMUSG00000061928,Dsg1b
ENSMUSG00000061937,Csn1s2a
ENSMUSG00000061947,Serpina10
ENSMUSG00000061950,Ppp4r1
ENSMUSG00000061952,Olfr1377
ENSMUSG00000061958,Defa38
ENSMUSG00000061959,Ces1e
ENSMUSG00000061961,Olfr815
ENSMUSG00000061969,Gm5581
ENSMUSG00000061972,Olfr99
ENSMUSG00000061974,Cldn24
ENSMUSG00000061977,Tas2r104
ENSMUSG00000061979,Rcc1l
ENSMUSG00000061981,Flot2
ENSMUSG00000061983,Rps12
ENSMUSG00000061984,Olfr392
ENSMUSG00000061988,Rpl10a-ps2
ENSMUSG00000061991,H2ac10
ENSMUSG00000061992,Gm4953
ENSMUSG00000062006,Rpl34
ENSMUSG00000062007,Hsh2d
ENSMUSG00000062012,Zfp13
ENSMUSG00000062014,Gmfb
ENSMUSG00000062017,Abca14
ENSMUSG00000062028,Irgc1
ENSMUSG00000062031,Pgghg
ENSMUSG00000062036,4932415M13Rik
ENSMUSG00000062037,Olfr285
ENSMUSG00000062038,Gm10108
ENSMUSG00000062040,Zfp27
ENSMUSG00000062042,Olfr294
ENSMUSG00000062044,Lmtk3
ENSMUSG00000062046,5730460C07Rik
ENSMUSG00000062054,Iah1
ENSMUSG00000062061,Obp2a
ENSMUSG00000062064,Slc2a7
ENSMUSG00000062070,Pgk1
ENSMUSG00000062073,Gm10109
ENSMUSG00000062074,Ccn6
ENSMUSG00000062075,Lmnb2
ENSMUSG00000062077,Trim54
ENSMUSG00000062078,Qk
ENSMUSG00000062081,Gm6055
ENSMUSG00000062082,Cd200r4
ENSMUSG00000062083,Rpl13a-ps1
ENSMUSG00000062093,Gm10110
ENSMUSG00000062098,Btbd3
ENSMUSG00000062101,Zfp119b
ENSMUSG00000062103,Olfr924
ENSMUSG00000062105,Olfr183
ENSMUSG00000062110,Scfd2
ENSMUSG00000062115,Rai1
ENSMUSG00000062116,Zfp954
ENSMUSG00000062121,Olfr149
ENSMUSG00000062124,Defb45
ENSMUSG00000062127,Cttnbp2nl
ENSMUSG00000062128,Olfr20
ENSMUSG00000062132,Arhgap33os
ENSMUSG00000062142,Olfr569
ENSMUSG00000062148,Ear6
ENSMUSG00000062151,Unc13c
ENSMUSG00000062152,Rpl21-ps14
ENSMUSG00000062154,Tex33
ENSMUSG00000062157,Ifnlr1
ENSMUSG00000062162,Mageb1
ENSMUSG00000062165,Vmn1r232
ENSMUSG00000062168,Ppef1
ENSMUSG00000062169,Cnih4
ENSMUSG00000062170,Fmr1nb
ENSMUSG00000062175,Tgif2
ENSMUSG00000062181,Ces3b
ENSMUSG00000062184,Hs6st2
ENSMUSG00000062186,Olfr395
ENSMUSG00000062190,Lancl2
ENSMUSG00000062198,2700097O09Rik
ENSMUSG00000062199,Olfr1465
ENSMUSG00000062200,Vmn2r7
ENSMUSG00000062201,Prl3d3
ENSMUSG00000062202,Btbd9
ENSMUSG00000062203,Gspt1
ENSMUSG00000062204,Olfr1373
ENSMUSG00000062209,Erbb4
ENSMUSG00000062210,Tnfaip8
ENSMUSG00000062224,4933411G06Rik
ENSMUSG00000062226,Gm10112
ENSMUSG00000062232,Rapgef2
ENSMUSG00000062234,Gak
ENSMUSG00000062235,Btf3-ps5
ENSMUSG00000062245,Olfr170
ENSMUSG00000062248,Cks2
ENSMUSG00000062252,Lhfpl5
ENSMUSG00000062257,Opcml
ENSMUSG00000062270,Morf4l1
ENSMUSG00000062272,Olfr1129
ENSMUSG00000062275,Fbxw24
ENSMUSG00000062278,Gm11562
ENSMUSG00000062279,Gm10237
ENSMUSG00000062282,Gm10113
ENSMUSG00000062284,Gm6030
ENSMUSG00000062296,Trank1
ENSMUSG00000062300,Nectin2
ENSMUSG00000062309,Rpp25
ENSMUSG00000062310,Glrp1
ENSMUSG00000062312,Erbb2
ENSMUSG00000062314,Olfr1505
ENSMUSG00000062319,Gm10115
ENSMUSG00000062327,T
ENSMUSG00000062328,Rpl17
ENSMUSG00000062329,Cytl1
ENSMUSG00000062342,Serpinb9e
ENSMUSG00000062345,Serpinb2
ENSMUSG00000062352,Itgb1bp1
